"Method.Code","Method.Name"
35,"INSTRUMENTAL - CHEMILUMINESCENCE"
42,"INSTRUMENTAL - CHEMILUMINESCENCE"
74,"INSTRUMENTAL - CHEMILUMINESCENCE"
82,"INSTRUMENTAL - CHEMILUMINESCENCE"
90,"INSTRUMENTAL - GAS-PHASE CHEMILUMINESCENCE"
99,"INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE"
157,"Instrumental - Chemiluminescence"
186,"Instrumental - Chemiluminescence"
200,"Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence"
212,"Teledyne Model T500U - Cavity Attenuated Phase Shift Spectroscopy"
241,"Teledyne-API Model T200P Chemiluminescence - Photolytic-Chemiluminescence"
574,"Instrumental - Chemiluminescence Thermo Electron 42C-TL, 42i-TL"
599,"Instrumental - Chemiluminescence Teledyne API 200 EU/501"
